id,year,funder,program,url,title,author,link,discipline,status
abrams_stephen_2016,2016,Institute of Museum and Library Services (US),"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/abrams_stephen_2016.html,"Cobweb: A Collaborative Collection Development Platform for Web Archiving","Stephen Abrams",'https://doi.org/10.3897/rio.2.e8760',"",funded
agosti_donat_2016,2016,Shuttleworth Foundation,"Shuttleworth Foundation Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/agosti_donat_2016.html,"Shuttleworth Fellowship Application","Donat Agosti",'https://doi.org/10.3897/rio.2.e11014',"",unfunded
ahmedien_diaa_2013,2013,Egypt Excellence Scholarships,"PhD Project proposal",https://expanding-open-grants.github.io/ogrants//ogrants/grants/ahmedien_diaa_2013.html,"Physics of Laser in Contemporary Visual Arts: the research protocol","Diaa Ahmed Mohamed Ahmedien",'https://doi.org/10.3897/rio.2.e11150',"",funded
aksoy_2014,2014,Multiple,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/aksoy_2014.html,"Making sense of cancer data: Implications for personalized therapy and cancer biology","B. Arman Aksoy",'https://doi.org/10.6084/m9.figshare.1239172',"",
ambroggio_lilliam_2016,2016,National Institutes of Health (US),"K01",https://expanding-open-grants.github.io/ogrants//ogrants/grants/ambroggio_lilliam_2016.html,"Metabolomics Evaluation of the Etiology of Pneumonia","Lilliam Ambroggio","",funded
ball_mad_2017,2017,Shuttleworth Foundation,"Shuttleworth Foundation Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/ball_mad_2017.html,"Shuttleworth Fellowship Application","Mad Price Ball",'http://www.madpriceball.net/my-application-text-video/',"",funded
barnett_adrian_2016,2016,National Health and Medical Research Foundation,"Senior Research Fellowship",https://expanding-open-grants.github.io/ogrants//ogrants/grants/barnett_adrian_2016.html,"Meta-research: Using research to increase the value of health and medical research","Adrian G. Barnett",'https://eprints.qut.edu.au/98764/',"health services research",funded
bergman_casey_2007,2007,BBSRC,"Responsive Mode Application",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bergman_casey_2007.html,"Population Genomics of Retrotransposons in Drosophila","Casey Bergman",'https://doi.org/10.6084/m9.figshare.94129.v2',"",unfunded
bergman_casey_2008a,2008,BBSRC,"Tools and Resources Development Fund Application",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bergman_casey_2008a.html,"pubmed2ensembl: a resource for linking biological literature to genome sequences","Casey Bergman",'https://doi.org/10.6084/m9.figshare.94137',"",funded
bergman_casey_2008b,2008,NERC,"New Investigator Award",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bergman_casey_2008b.html,"Testing the impact of host demography on transposable element dynamics in Drosophila","Casey Bergman",'https://doi.org/10.6084/m9.figshare.94130.v2',"",funded
bergman_casey_2008c,2008,EMBO,"Young Investigator Programme",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bergman_casey_2008c.html,"EMBO Young Investigator Programme","Casey Bergman",'https://doi.org/10.6084/m9.figshare.94127.v1',"",unfunded
bhaskar_aditi_2013,2013,NSF,"EAR Postdoctoral Fellowship",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bhaskar_aditi_2013.html,"Impacts of Novel Stormwater Management on Groundwater Recharge","Aditi S Bhaskar",'["https://353a23c500dde3b2ad58-c49fe7e7355d384845270f4a7a0a7aa1.ssl.cf2.rackcdn.com/a2643c8b-fbfb-414b-818e-88cdd3233a6d/Aditi%20NSF-EAR-PF%20project%20summary%20description%20and%20references.pdf"]',"arth sciences",funded
bird_kevin_2016,2016,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bird_kevin_2016.html,"NSF Graduate Research Fellowship","Kevin Bird",'["https://github.com/ybrandvain/GRFP/blob/master/Bird_NSF_Research_official.pdf", "https://github.com/ybrandvain/GRFP/blob/master/BirdNSFPersonal_official.pdf", "https://github.com/ybrandvain/GRFP/blob/master/BirdNSFreview.pdf"]',"Genomics",funded
bridges_david_2016a,2016,NIH,"National Institute of Diabetes and Digestive and Kidney Diseases",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bridges_david_2016a.html,"Regulation of Lipid Storage by mTORC1","David Bridges",'https://doi.org/10.6084/m9.figshare.3381487',"",funded
bridges_david_2016b,2016,NIH,"National Institute of Diabetes and Digestive and Kidney Diseases MNORC small grant",https://expanding-open-grants.github.io/ogrants//ogrants/grants/bridges_david_2016b.html,"Tissue Specific Inhibition of Diet-Induced Thermogenesis","David Bridges",'https://doi.org/10.6084/m9.figshare.4530416',"",funded
brooks_benjamin_2016,2016,National Institutes of Health (US),"R41, R42, R43, R44",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brooks_benjamin_2016.html,"High-throughput, multiplexed characterization and modeling of antibody:antigen binding, with application to HSV","Benjamin Delbert Brooks",'["https://www.niaid.nih.gov/sites/default/files/R43-Brooks-Application.pdf", "https://www.niaid.nih.gov/sites/default/files/R43-Brooks-Summary-Statement.pdf"]',"",funded
brown_ctitus_2007,2007,NIH,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2007.html,"Cartwheel: Tools for Regulatory Genomics","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/cartwheel-nih-sep2007-short.pdf',"",unfunded
brown_ctitus_2009,2009,USDA,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2009.html,"Web tools for next-gen sequence analysis","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2009-usda-vertex.pdf',"",funded
brown_ctitus_2010,2010,NIH,"R25",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2010.html,"A short course in analyzing next-generation sequencing data","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2010-ngs-course-nih-r25.pdf',"",funded
brown_ctitus_2011,2011,NSF,"CAREER",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2011.html,"CAREER: Scaling and Improving de Bruijn graph assembly","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2011-nsf-career.pdf',"",unfunded
brown_ctitus_2012a,2012,Moore Foundation,"Marine Microbiology Initiative",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2012a.html,"Marine metagenomics","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2012-moorefund.pdf',"",funded
brown_ctitus_2012b,2012,NSF,"Cyberinfrastructure",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2012b.html,"Materials and Workshops for Cyberinfrastructure Education in Biology","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2012-beacon-education-suppl-pub.pdf',"",funded
brown_ctitus_2012c,2012,NSF,"CAREER",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2012c.html,"CAREER: Assembling Extremely Large Metagenomes","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2012-career-nsf-final.pdf',"",unfunded
brown_ctitus_2012d,2012,NSF,"BIGDATA",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2012d.html,"Low-memory Streaming Prefilters for Biological Sequencing Data","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2012-bigdata-nsf.pdf',"",funded
brown_ctitus_2014,2014,Moore Foundation,"Data Driven Discovery Investigators",https://expanding-open-grants.github.io/ogrants//ogrants/grants/brown_ctitus_2014.html,"Moore Investigator in Data Driven Discovery","C. Titus Brown",'https://github.com/dib-lab/www-ged.msu.edu/blob/master/downloads/2014-moore-ddd-round2.pdf',"",funded
burgio_kevin_2010,2010,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/burgio_kevin_2010.html,"The role of diet, physiology, and behavior in thermoregulation and population growth of the invasive monk parakeet (Myiopsitta monachus)","Kevin R. Burgio",'https://doi.org/10.6084/m9.figshare.5215894',"ecology and physiology",funded
calix_juan_2010,2010,National Institutes of Health (US),"F31",https://expanding-open-grants.github.io/ogrants//ogrants/grants/calix_juan_2010.html,"The role of wcjE disruption in pneumococcal serotype 11A humoral escape","Juan Calix",'https://www.niaid.nih.gov//grants-contracts/calix-sample-f31-application-and-summary-statement',"",funded
carrasco_jj_2014,2014,European Research Commission (ERC-StG-2014),"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/carrasco_jj_2014.html,"Strategic Predictions for Quantum Field Theories","John Joseph M. Carrasco",'https://doi.org/10.6084/m9.figshare.5142502.v1',"physics",funded
chabert_steren_2017,2017,Fondo Nacional de Desarrollo Científico y Tecnológico (FONDECYT),"Postdoctoral Grant",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chabert_steren_2017.html,"Applying machine learning and image feature extraction techniques to the problem of cerebral aneurysm rupture","Steren Chabert",'https://doi.org/10.3897/rio.3.e11731',"",
chamberlain_scott_2009a,2009,Texas Higher Education Coordinating Board,"Norman Hackerman Advanced Research Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_2009a.html,"Ecological and evolutionary impacts of pollinator sharing between cultivated and wild sunflowers","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94218',"",unfunded
chamberlain_scott_2009b,2009,American Philosophical Society,"Lewis and Clark Fund",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_2009b.html,"Do Cultivated Sunflowers Homogenize the Pollinator Communities of, and Selection on, Wild Sunflowers?","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94217',"",unfunded
chamberlain_scott_2010,2010,Prairie Biotic Research, Inc.,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_2010.html,"Pollinator communities of crop and wild sunflowers","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94295.v2',"",funded
chamberlain_scott_unknowna,,WWF,"Kathryn Fuller Doctoral Fellowship",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_unknowna.html,"Kathryn Fuller Doctoral Fellowship Proposal","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94296',"",unfunded
chamberlain_scott_unknownb,,American Society of Naturalists,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_unknownb.html,"How do crop-mediated changes in mutualist and antagonist communities affect selection on floral and defense traits?","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94089',"",unfunded
chamberlain_scott_unknownc,,USGS,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_unknownc.html,"Ariel Appleton Research Fellowship Proposal - Ecological Networks","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94090',"",unfunded
chamberlain_scott_unknownd,,Ecological Society of America,"Forest Shreve Research Award",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_unknownd.html,"Mechanisms for the Structure of Sonoran Desert Ant-Plant Mutualistic Communities","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94216',"",unfunded
chamberlain_scott_unknowne,,NSF,"DDIG",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chamberlain_scott_unknowne.html,"Mechanisms for the Structure of Sonoran Desert Ant-Plant Mutualistic Communities","Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.94219',"",unfunded
chan_joel_2014,2014,NSF,"Dissertation Improvement Grant (DDIG)",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chan_joel_2014.html,"The impact of sources of inspiration on the genesis of innovative ideas","Joel Chan",'["https://353a23c500dde3b2ad58-c49fe7e7355d384845270f4a7a0a7aa1.ssl.cf2.rackcdn.com/76553f9b-017b-4023-adcc-c870353dc25a/Chan_DissertationImprovementGrant.pdf"]',"psychology",funded
chen_robert_2016a,2016,Tzu Chi University College of Medicine, Taiwan,"Cardiovascular Research",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chen_robert_2016a.html,"Clinical roles of soluble ST2 for the outcomes of cardiac valve operations","Robert Jeenchen Chen",'https://doi.org/10.3897/rio.2.e8849',"",
chen_robert_2016b,2016,Tzuchi University College of Medicine,"PhD Project proposal",https://expanding-open-grants.github.io/ogrants//ogrants/grants/chen_robert_2016b.html,"Bi-directional immuno-modulation by Matrix Metalloproteinase-7 (MMP-7) and A Disintegrin And Metalloproteinase-17 (ADAM-17) as transplantation rejection-tolerance spectrum","Robert Jeenchen Chen",'https://doi.org/10.3897/rio.2.e9268',"",
clark_adam_2011,2011,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/clark_adam_2011.html,"Do species-environment feedbacks lead to multiple trajectories of ecosystem change?","Adam Clark",'["https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_ResearchPlan_2013.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_PersonalStatement_2013.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_Previous%20Experience_2013.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_Review_2013.pdf"]',"Ecology",funded
coleman_kenneth_2014,2014,National Institutes of Health (US),"R41, R42, R43, R44",https://expanding-open-grants.github.io/ogrants//ogrants/grants/coleman_kenneth_2014.html,"Antibiotics for Recalcitrant Infection","Kenneth Coleman",'https://www.niaid.nih.gov/sites/default/files/1r44ai112187-01a1_coleman.pdf',"",funded
